City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Min Temp,Max Temp,Wind Speed
6354897,Rivière-du-Loup,100,CA,2021-02-08 00:27:38,86,47.8304,-69.5342,21.199999999999932,26.599999999999966,86
543018,Koz'modem'yansk,40,RU,2021-02-08 00:27:39,70,56.3367,46.5711,-11.199999999999989,-11.199999999999989,70
5110365,Broome,1,US,2021-02-08 00:24:22,73,42.2506,-75.833,15.007999999999981,19.994000000000028,73
5836898,Rock Springs,1,US,2021-02-08 00:23:25,32,41.5875,-109.2029,33.799999999999955,33.799999999999955,32
286621,Salalah,75,OM,2021-02-08 00:27:17,73,17.0151,54.0924,69.80000000000001,69.80000000000001,73
3466980,Caravelas,100,BR,2021-02-08 00:27:44,91,-17.7125,-39.2481,75.9919999999999,75.9919999999999,91
897456,Sinazongwe,100,ZM,2021-02-08 00:27:45,85,-17.2614,27.4618,74.858,74.858,85
3893726,Constitución,2,CL,2021-02-08 00:26:26,87,-35.3333,-72.4167,59.12600000000003,59.12600000000003,87
4969398,Lewiston,90,US,2021-02-08 00:27:16,93,44.1003,-70.2148,21.991999999999962,24.99799999999999,93
1852357,Shimoda,20,JP,2021-02-08 00:27:35,58,34.6667,138.95,49.99999999999994,51.799999999999955,58
2027042,Batagay-Alyta,0,RU,2021-02-08 00:25:59,77,67.8006,130.4114,-31.161999999999978,-31.161999999999978,77
5554428,Ketchikan,1,US,2021-02-08 00:24:56,64,55.3422,-131.6461,28.399999999999977,31.999999999999943,64
3838859,Río Gallegos,0,AR,2021-02-08 00:26:24,48,-51.6226,-69.2181,62.599999999999966,62.599999999999966,48
6113406,Prince Rupert,1,CA,2021-02-08 00:27:54,51,54.3161,-130.3201,31.999999999999943,33.799999999999955,51
3157897,Fagernes,0,NO,2021-02-08 00:27:55,80,60.9858,9.2324,-5.007999999999981,-5.007999999999981,80
4014409,Cherán,1,MX,2021-02-08 00:27:58,49,19.6833,-101.95,66.9919999999999,73.39999999999992,49
964090,Prieska,2,ZA,2021-02-08 00:27:59,39,-29.6641,22.7474,77.46800000000002,77.46800000000002,39
2156643,Mount Gambier,90,AU,2021-02-08 00:26:18,59,-37.8333,140.7667,62.599999999999966,62.599999999999966,59
2090021,Namatanai,96,PG,2021-02-08 00:28:03,68,-3.6667,152.4333,85.19,85.19,68
5905393,Bonavista,0,CA,2021-02-08 00:28:04,74,48.6499,-53.1147,24.799999999999955,30.00200000000001,74
3571913,Marsh Harbour,54,BS,2021-02-08 00:28:05,88,26.5412,-77.0636,75.52399999999994,75.52399999999994,88
2455216,Kita,70,ML,2021-02-08 00:28:06,20,13.0349,-9.4895,73.52600000000001,73.52600000000001,20
1651810,Airai,100,TL,2021-02-08 00:28:08,97,-8.9266,125.4092,66.88399999999996,66.88399999999996,97
2015179,Tommot,0,RU,2021-02-08 00:28:09,79,58.9564,126.2925,-24.682000000000016,-24.682000000000016,79
286245,Sur,0,OM,2021-02-08 00:28:10,72,22.5667,59.5289,63.35599999999994,63.35599999999994,72
2014624,Udachny,92,RU,2021-02-08 00:24:10,83,66.4167,112.4,-27.47199999999998,-27.47199999999998,83
3390295,Rio Formoso,40,BR,2021-02-08 00:28:13,69,-8.6636,-35.1586,80.59999999999997,80.59999999999997,69
5955902,Fort Nelson,75,CA,2021-02-08 00:24:34,64,58.8053,-122.7002,-14.800000000000011,-14.800000000000011,64
5150986,Conneaut,90,US,2021-02-08 00:28:15,62,41.9476,-80.5542,13.999999999999943,15.799999999999955,62
3835869,Santiago del Estero,0,AR,2021-02-08 00:28:16,50,-27.7951,-64.2615,82.99400000000009,82.99400000000009,50
2961459,Skibbereen,90,IE,2021-02-08 00:28:17,69,51.55,-9.2667,35.599999999999966,35.599999999999966,69
2446796,Bilma,99,NE,2021-02-08 00:28:20,23,18.6853,12.9164,64.94,64.94,23
5546220,Saint George,1,US,2021-02-08 00:28:21,14,37.1041,-113.5841,62.599999999999966,62.599999999999966,14
5423092,Glenwood Springs,1,US,2021-02-08 00:28:22,49,39.5505,-107.3248,21.199999999999932,48.19999999999993,49
3374462,Mindelo,75,CV,2021-02-08 00:28:24,56,16.8901,-24.9804,69.80000000000001,69.80000000000001,56
553766,Kamenka,8,RU,2021-02-08 00:28:25,91,51.3223,42.7678,-8.194000000000017,-8.194000000000017,91
1723481,Buenavista,100,PH,2021-02-08 00:28:26,95,8.9769,125.4089,73.868,73.868,95
1737185,Kapit,95,MY,2021-02-08 00:28:28,94,2.0167,112.9333,74.76800000000009,74.76800000000009,94
1634614,Nabire,76,ID,2021-02-08 00:28:29,64,-3.3667,135.4833,84.90199999999999,84.90199999999999,64
3395981,Maceió,0,BR,2021-02-08 00:27:25,88,-9.6658,-35.7353,76.99999999999994,76.99999999999994,88
5870133,Nome,1,US,2021-02-08 00:28:31,84,64.5011,-165.4064,-4.0,1.004000000000019,84
